session_id,visit_date,country,device_type,traffic_source,product_category_viewed,pages_viewed,time_on_site_minutes,added_to_cart,purchased,order_value_usd
70,2023-08-16,Germany,Desktop,Direct,Electronics,8,8.66,1,1,232.38
71,2023-09-11,Australia,Tablet,Direct,Electronics,8,5.59,1,1,69.12
72,2023-11-20,India,Desktop,Direct,Home,5,4.75,0,1,44.22
73,2024-07-20,India,Mobile,Paid Ads,Fashion,6,4.17,0,1,80.2
74,2023-07-29,Canada,Desktop,Paid Ads,Beauty,6,3.61,0,0,0.0
75,2023-10-12,USA,Desktop,Email,Fashion,3,6.55,1,0,0.0
76,2023-03-25,India,Desktop,Referral,Electronics,6,4.26,0,1,13.26
77,2024-10-31,India,Tablet,Referral,Electronics,3,4.57,1,0,0.0
78,2023-07-13,India,Mobile,Paid Ads,Beauty,6,6.21,0,1,96.87
79,2023-03-28,Germany,Desktop,Paid Ads,Beauty,8,5.41,1,0,0.0
80,2023-08-17,India,Mobile,Email,Electronics,4,7.63,1,1,28.94
81,2023-06-14,Germany,Desktop,Email,Home,4,8.73,1,0,0.0
82,2024-07-01,Germany,Tablet,Direct,Sports,8,7.54,1,0,0.0
83,2023-09-13,Australia,Tablet,Email,Fashion,7,7.94,1,0,0.0
84,2023-04-25,USA,Desktop,Paid Ads,Electronics,7,5.94,0,1,141.39
85,2023-05-08,Canada,Tablet,Referral,Electronics,5,8.3,1,0,0.0
86,2023-12-08,Australia,Desktop,Organic Search,Electronics,7,5.68,0,0,0.0
87,2024-07-29,Canada,Desktop,Referral,Sports,4,7.61,1,0,0.0
88,2023-10-23,USA,Mobile,Referral,Electronics,9,6.6,0,1,11.46
89,2024-05-21,USA,Mobile,Referral,Electronics,5,5.93,1,0,0.0
90,2023-02-08,Australia,Mobile,Email,Electronics,2,9.54,0,1,131.62
91,2023-01-17,Canada,Mobile,Referral,Sports,11,4.81,0,0,0.0
92,2024-05-03,India,Tablet,Organic Search,Beauty,5,7.64,0,0,0.0
93,2023-05-17,Australia,Tablet,Referral,Sports,5,6.27,0,0,0.0
94,2024-03-18,UK,Desktop,Paid Ads,Books,4,3.92,1,0,0.0
95,2024-06-10,Australia,Desktop,Paid Ads,Home,11,8.56,0,0,0.0
96,2024-08-30,Germany,Mobile,Direct,Books,12,4.25,0,0,0.0
97,2024-10-31,UK,Desktop,Social Media,Electronics,6,7.59,0,0,0.0
98,2023-05-20,India,Desktop,Referral,Sports,11,8.28,0,1,50.97
99,2023-04-17,India,Mobile,Referral,Fashion,4,5.01,1,1,58.36
100,2024-07-26,Canada,Desktop,Paid Ads,Home,9,1.51,0,0,0.0
101,2023-07-14,India,Mobile,Social Media,Home,8,4.24,0,1,31.99
102,2024-08-15,USA,Desktop,Referral,Books,7,5.98,1,1,141.27
103,2024-07-24,UK,Tablet,Direct,Sports,11,6.13,1,0,0.0
104,2023-12-29,India,Tablet,Referral,Home,3,9.13,0,0,0.0
105,2024-06-08,Australia,Mobile,Paid Ads,Home,8,6.69,1,1,61.87
106,2023-08-10,India,Mobile,Direct,Sports,9,6.56,0,0,0.0
107,2023-07-29,USA,Desktop,Social Media,Sports,7,9.13,1,0,0.0
108,2024-03-05,USA,Tablet,Social Media,Fashion,7,5.87,1,1,44.65
109,2024-01-17,Australia,Tablet,Social Media,Sports,6,5.29,0,1,124.61
110,2023-06-12,Germany,Desktop,Organic Search,Electronics,4,5.59,0,1,81.58
111,2024-08-13,Australia,Desktop,Social Media,Electronics,3,5.54,1,0,0.0
112,2024-06-19,India,Desktop,Paid Ads,Books,6,4.65,0,0,0.0
113,2024-12-26,UK,Mobile,Direct,Beauty,6,9.6,0,0,0.0
114,2024-01-01,Canada,Tablet,Email,Sports,10,5.35,0,0,0.0
115,2024-11-03,India,Mobile,Organic Search,Books,2,6.1,0,0,0.0
116,2024-08-11,USA,Tablet,Organic Search,Home,3,9.6,1,0,0.0
117,2024-03-03,Canada,Tablet,Paid Ads,Beauty,4,7.28,1,0,0.0
118,2024-02-20,USA,Mobile,Social Media,Home,11,4.84,0,0,0.0
119,2023-01-12,India,Desktop,Paid Ads,Books,6,5.95,0,1,65.42
120,2024-12-23,USA,Tablet,Organic Search,Home,7,10.28,0,0,0.0
121,2023-11-28,Canada,Desktop,Referral,Books,9,11.19,0,0,0.0
122,2024-07-31,USA,Mobile,Paid Ads,Fashion,8,6.82,1,0,0.0
123,2024-06-03,Germany,Mobile,Paid Ads,Books,7,4.21,0,0,0.0
124,2023-08-19,UK,Desktop,Direct,Books,6,5.72,1,0,0.0
125,2024-02-28,USA,Desktop,Paid Ads,Books,6,4.82,1,0,0.0
126,2023-05-13,India,Desktop,Organic Search,Beauty,5,2.1,0,0,0.0
127,2023-07-23,USA,Mobile,Email,Home,7,5.86,0,1,64.76
128,2023-04-29,UK,Mobile,Paid Ads,Electronics,3,6.38,1,0,0.0
129,2023-08-30,Australia,Mobile,Email,Home,2,4.21,1,0,0.0
130,2023-07-04,UK,Mobile,Social Media,Home,6,6.13,0,0,0.0
131,2024-10-30,Australia,Tablet,Email,Books,11,6.24,0,1,141.6
132,2024-10-15,Canada,Desktop,Organic Search,Electronics,6,8.37,1,0,0.0
133,2024-11-18,UK,Mobile,Referral,Home,4,8.45,1,0,0.0
134,2024-04-26,India,Mobile,Referral,Beauty,7,7.39,0,0,0.0
135,2024-12-11,UK,Tablet,Social Media,Beauty,7,3.62,1,1,84.12
136,2023-03-26,Canada,Tablet,Organic Search,Beauty,4,3.69,0,0,0.0
137,2023-10-27,Canada,Mobile,Social Media,Electronics,10,2.93,1,1,21.49
138,2023-11-30,Australia,Desktop,Organic Search,Sports,6,5.04,0,0,0.0
139,2024-10-19,Canada,Tablet,Direct,Books,8,7.9,0,1,37.99
140,2024-01-20,Australia,Tablet,Paid Ads,Home,4,6.49,1,1,263.49
141,2024-01-13,Germany,Mobile,Direct,Home,9,7.17,0,0,0.0
142,2024-08-03,Canada,Desktop,Direct,Electronics,5,7.36,0,0,0.0
143,2024-03-30,Australia,Desktop,Referral,Home,7,4.39,0,1,192.19
144,2023-10-07,Australia,Desktop,Social Media,Beauty,4,5.24,0,1,56.7
145,2024-10-09,Australia,Desktop,Referral,Fashion,7,3.31,1,1,118.91
146,2023-02-27,USA,Desktop,Direct,Beauty,8,7.12,0,1,70.67
147,2023-07-27,Australia,Tablet,Paid Ads,Sports,4,1.33,0,1,44.06
148,2023-09-05,Canada,Desktop,Email,Sports,7,7.01,1,0,0.0
149,2024-04-25,India,Desktop,Social Media,Fashion,5,7.16,0,1,77.16
150,2023-09-19,Germany,Tablet,Referral,Books,9,5.81,1,1,100.54
151,2023-03-14,UK,Desktop,Email,Beauty,3,7.2,0,1,110.63
152,2023-09-10,Australia,Mobile,Referral,Beauty,8,6.24,0,0,0.0
153,2024-01-27,Australia,Mobile,Direct,Electronics,4,5.18,1,1,83.49
154,2024-03-22,UK,Tablet,Direct,Books,6,5.57,0,1,177.08
155,2023-02-25,Canada,Desktop,Organic Search,Fashion,4,4.58,0,0,0.0
156,2024-08-31,Australia,Desktop,Paid Ads,Fashion,9,7.71,1,0,0.0
157,2024-04-27,USA,Mobile,Organic Search,Fashion,6,4.85,0,0,0.0
158,2024-10-11,Germany,Tablet,Organic Search,Beauty,7,1.0,0,0,0.0
159,2024-04-09,Germany,Tablet,Referral,Fashion,5,3.61,0,0,0.0
160,2023-08-15,Australia,Tablet,Email,Beauty,10,5.92,0,1,251.64
161,2024-12-26,Germany,Mobile,Paid Ads,Books,5,4.79,1,0,0.0
162,2023-04-11,Australia,Mobile,Organic Search,Beauty,2,7.59,1,0,0.0
163,2023-01-17,USA,Mobile,Direct,Sports,8,8.46,0,0,0.0
164,2023-12-16,Germany,Mobile,Referral,Fashion,4,7.9,1,0,0.0
165,2023-11-25,India,Desktop,Paid Ads,Beauty,4,6.07,1,1,40.85
166,2023-05-29,Australia,Tablet,Referral,Sports,4,6.08,1,0,0.0
167,2023-10-15,UK,Desktop,Referral,Books,5,3.91,0,0,0.0
168,2024-02-18,Canada,Desktop,Referral,Beauty,4,2.07,1,1,113.1
169,2024-06-13,USA,Tablet,Email,Beauty,7,5.28,0,1,83.06
170,2024-06-24,UK,Mobile,Direct,Home,5,2.57,0,0,0.0
171,2024-02-25,Canada,Desktop,Direct,Fashion,9,5.5,0,1,65.66
172,2023-04-14,UK,Desktop,Organic Search,Books,9,9.28,1,1,314.87
173,2023-01-14,UK,Mobile,Social Media,Home,9,8.42,0,0,0.0
174,2024-04-13,UK,Tablet,Organic Search,Fashion,1,7.24,0,0,0.0
175,2023-07-07,USA,Mobile,Email,Books,6,9.08,1,1,233.18
176,2024-08-16,USA,Tablet,Paid Ads,Electronics,3,4.02,1,1,88.65
177,2023-04-27,Germany,Desktop,Social Media,Sports,6,5.83,1,1,60.58
178,2023-04-28,Germany,Desktop,Organic Search,Fashion,6,5.26,1,1,140.18
179,2024-07-26,Germany,Desktop,Referral,Books,9,5.18,0,0,0.0
180,2023-02-18,India,Tablet,Email,Beauty,8,7.06,0,0,0.0
181,2024-11-16,India,Desktop,Social Media,Beauty,6,5.8,0,0,0.0
182,2023-08-08,Germany,Tablet,Direct,Books,7,5.59,1,0,0.0
183,2023-09-07,Canada,Tablet,Paid Ads,Beauty,5,7.57,0,0,0.0
184,2023-07-18,USA,Desktop,Email,Beauty,9,4.22,0,0,0.0
185,2024-01-19,India,Desktop,Social Media,Books,3,4.79,0,0,0.0
186,2023-10-16,Australia,Desktop,Direct,Fashion,5,9.26,1,1,62.49
187,2024-05-31,Germany,Mobile,Referral,Sports,8,4.34,0,1,38.52
188,2023-02-01,India,Desktop,Referral,Sports,5,5.88,0,1,52.7
189,2023-01-26,Australia,Mobile,Organic Search,Books,5,2.87,0,1,33.19
190,2024-03-02,Germany,Mobile,Email,Fashion,8,1.74,1,0,0.0
191,2023-08-26,India,Desktop,Email,Home,8,4.91,1,1,43.42
192,2023-09-17,USA,Desktop,Social Media,Home,9,4.15,1,1,147.5
193,2024-10-01,Germany,Desktop,Email,Home,3,7.16,0,0,0.0
194,2024-12-01,India,Desktop,Organic Search,Books,8,6.65,0,0,0.0
195,2023-05-11,Canada,Mobile,Social Media,Fashion,5,4.8,1,1,192.39
196,2023-03-16,Australia,Mobile,Direct,Electronics,8,3.64,1,0,0.0
197,2024-03-29,India,Mobile,Paid Ads,Electronics,8,8.38,0,0,0.0
198,2024-09-20,Canada,Mobile,Paid Ads,Fashion,6,6.56,1,0,0.0
199,2024-03-18,Germany,Tablet,Organic Search,Sports,6,7.49,1,0,0.0
200,2024-08-18,USA,Desktop,Direct,Home,3,7.08,1,1,123.59
201,2023-03-14,UK,Mobile,Referral,Sports,6,4.18,0,0,0.0
202,2024-01-11,Australia,Tablet,Organic Search,Fashion,4,6.18,1,1,49.87
203,2024-09-23,UK,Mobile,Referral,Electronics,3,7.59,1,0,0.0
204,2023-02-04,UK,Tablet,Direct,Beauty,6,9.44,0,0,0.0
205,2023-02-04,Germany,Tablet,Paid Ads,Electronics,9,5.83,1,0,0.0
206,2023-08-20,Canada,Tablet,Direct,Fashion,7,4.21,0,1,29.22
207,2023-09-19,India,Tablet,Social Media,Books,2,6.21,1,0,0.0
208,2023-12-28,Canada,Mobile,Referral,Electronics,6,5.06,0,0,0.0
209,2023-02-18,UK,Tablet,Email,Books,2,8.17,1,0,0.0
210,2023-12-29,UK,Mobile,Referral,Books,4,4.84,1,0,0.0
211,2024-07-24,UK,Mobile,Email,Beauty,7,3.24,0,1,9.39
212,2023-09-25,India,Desktop,Social Media,Books,7,7.62,0,1,98.3
213,2023-11-20,Germany,Tablet,Paid Ads,Beauty,5,5.74,0,0,0.0
214,2023-04-15,USA,Tablet,Referral,Books,6,6.15,0,0,0.0
215,2024-03-29,UK,Tablet,Referral,Beauty,4,2.61,0,0,0.0
216,2023-12-23,Germany,Desktop,Direct,Sports,7,4.71,0,0,0.0
217,2024-01-10,UK,Desktop,Paid Ads,Electronics,7,5.28,1,0,0.0
218,2023-04-28,UK,Desktop,Paid Ads,Beauty,6,6.46,1,0,0.0
219,2023-05-28,Canada,Tablet,Direct,Beauty,4,8.55,1,0,0.0
220,2024-07-29,UK,Mobile,Email,Home,7,5.0,0,0,0.0
221,2024-03-18,USA,Desktop,Paid Ads,Home,4,5.7,0,0,0.0
222,2023-05-05,UK,Desktop,Social Media,Sports,6,7.47,1,1,14.58
223,2023-03-09,Australia,Desktop,Referral,Electronics,7,3.03,1,1,68.25
224,2024-06-16,Canada,Mobile,Organic Search,Fashion,6,3.36,1,0,0.0
225,2024-03-10,Australia,Desktop,Email,Sports,8,6.91,1,0,0.0
226,2023-04-01,USA,Tablet,Email,Books,7,7.52,1,0,0.0
227,2024-07-11,Australia,Desktop,Email,Electronics,5,5.9,0,0,0.0
228,2024-08-09,India,Desktop,Paid Ads,Beauty,9,9.28,1,1,99.67
229,2023-11-25,Australia,Mobile,Social Media,Books,2,6.18,1,0,0.0
230,2023-05-27,Canada,Desktop,Email,Sports,3,7.77,1,0,0.0
231,2024-07-19,Canada,Desktop,Email,Books,10,7.58,1,0,0.0
232,2024-06-25,Canada,Desktop,Social Media,Books,4,6.84,1,1,40.46
233,2024-11-06,Germany,Desktop,Social Media,Home,5,6.94,1,1,9.42
234,2023-02-14,USA,Mobile,Direct,Fashion,5,7.32,0,0,0.0
235,2023-01-13,UK,Mobile,Direct,Sports,6,7.88,0,0,0.0
236,2023-08-19,Australia,Mobile,Paid Ads,Fashion,8,6.02,0,0,0.0
237,2024-03-31,Australia,Desktop,Social Media,Books,6,8.01,0,0,0.0
238,2023-09-17,Canada,Tablet,Referral,Home,5,6.67,0,1,28.73
239,2023-08-29,India,Mobile,Social Media,Fashion,3,5.34,1,0,0.0
240,2023-11-21,UK,Mobile,Social Media,Electronics,6,6.31,1,1,22.19
241,2024-02-05,Australia,Tablet,Paid Ads,Home,6,7.04,1,1,32.77
242,2024-03-27,India,Mobile,Referral,Home,6,6.82,0,0,0.0
243,2023-10-30,Australia,Mobile,Direct,Beauty,4,5.75,1,0,0.0
244,2024-02-01,India,Mobile,Referral,Home,9,7.35,0,1,58.53
245,2023-05-29,Germany,Desktop,Email,Home,5,8.0,1,0,0.0
246,2023-02-22,USA,Mobile,Social Media,Beauty,7,7.03,1,0,0.0
247,2023-07-01,India,Mobile,Email,Beauty,5,5.46,0,0,0.0
248,2024-08-26,India,Tablet,Direct,Books,3,9.13,1,1,50.0
249,2024-05-15,India,Mobile,Paid Ads,Sports,8,4.85,1,1,155.37
250,2024-05-18,UK,Mobile,Paid Ads,Electronics,4,6.36,0,0,0.0
251,2024-02-16,Canada,Desktop,Referral,Sports,6,10.25,1,1,91.62
252,2024-06-12,Canada,Mobile,Referral,Beauty,3,8.56,1,0,0.0
253,2024-11-23,Germany,Desktop,Social Media,Sports,9,7.12,0,1,92.68
254,2023-12-27,Germany,Desktop,Referral,Sports,6,6.4,1,0,0.0
255,2023-10-21,India,Tablet,Direct,Electronics,9,4.32,1,1,89.71
256,2024-05-06,USA,Tablet,Paid Ads,Home,10,6.38,1,0,0.0
257,2024-07-24,Australia,Mobile,Paid Ads,Fashion,10,4.68,0,1,83.75
258,2024-07-01,USA,Tablet,Organic Search,Fashion,6,8.11,1,1,59.03
259,2024-03-26,India,Desktop,Email,Books,2,4.25,1,0,0.0
260,2023-09-04,Canada,Desktop,Social Media,Electronics,6,6.5,1,1,74.74
261,2023-10-01,USA,Desktop,Direct,Home,9,6.97,0,1,106.71
262,2024-08-02,Australia,Desktop,Organic Search,Books,7,5.62,1,0,0.0
263,2024-02-03,USA,Desktop,Direct,Sports,5,7.84,0,0,0.0
264,2024-04-19,Australia,Mobile,Email,Electronics,7,8.07,1,0,0.0
265,2024-03-08,Canada,Mobile,Direct,Fashion,4,7.48,0,1,37.51
266,2024-01-26,UK,Mobile,Organic Search,Electronics,2,6.07,0,1,141.73
267,2023-06-18,USA,Desktop,Referral,Books,7,4.19,0,1,40.33
268,2023-09-29,Canada,Desktop,Email,Electronics,4,8.84,1,1,106.21
269,2023-06-02,Germany,Tablet,Social Media,Books,6,2.99,0,0,0.0
270,2023-04-06,Germany,Desktop,Referral,Sports,4,5.16,0,0,0.0
271,2023-03-14,Germany,Desktop,Organic Search,Sports,10,7.88,0,1,36.23
272,2024-02-23,India,Desktop,Direct,Home,4,8.89,0,0,0.0
273,2023-06-17,Canada,Desktop,Organic Search,Electronics,5,6.49,0,0,0.0
274,2024-04-02,USA,Tablet,Referral,Sports,7,8.77,0,1,18.53
275,2023-04-23,India,Tablet,Social Media,Sports,3,7.36,0,1,133.53
276,2023-02-28,India,Mobile,Email,Sports,5,5.63,0,0,0.0
277,2023-10-16,Australia,Desktop,Social Media,Fashion,7,4.07,0,1,28.45
278,2024-10-30,Canada,Desktop,Direct,Beauty,6,3.31,0,0,0.0
279,2024-01-22,India,Desktop,Social Media,Beauty,5,6.75,1,1,62.45
280,2023-04-18,UK,Desktop,Direct,Electronics,6,6.37,1,0,0.0
281,2023-12-18,USA,Desktop,Email,Books,7,7.1,0,0,0.0
282,2024-09-01,Germany,Desktop,Direct,Beauty,4,6.68,1,0,0.0
283,2023-03-24,Canada,Mobile,Email,Electronics,7,5.95,0,1,58.06
284,2024-01-02,UK,Desktop,Social Media,Electronics,4,9.5,1,0,0.0
285,2023-07-31,Germany,Tablet,Organic Search,Books,4,8.76,1,0,0.0
286,2024-01-01,Canada,Desktop,Email,Electronics,3,9.41,1,1,52.31
287,2023-10-31,USA,Tablet,Social Media,Sports,7,2.65,1,0,0.0
288,2024-05-08,Germany,Tablet,Email,Electronics,8,6.19,1,0,0.0
289,2024-03-20,USA,Desktop,Referral,Fashion,8,9.0,1,0,0.0
290,2023-08-02,UK,Desktop,Direct,Beauty,5,6.0,1,0,0.0
291,2023-05-01,India,Mobile,Direct,Sports,3,7.58,1,1,85.81
292,2023-03-10,USA,Tablet,Paid Ads,Home,3,2.75,1,0,0.0
293,2023-06-02,Canada,Mobile,Referral,Beauty,8,6.71,0,1,83.89
294,2023-03-28,India,Mobile,Organic Search,Beauty,8,1.69,1,0,0.0
295,2023-02-14,India,Tablet,Paid Ads,Beauty,2,7.95,0,0,0.0
296,2023-10-16,Australia,Desktop,Referral,Books,7,7.84,0,0,0.0
297,2023-01-11,UK,Desktop,Email,Beauty,3,4.53,1,0,0.0
298,2024-05-23,USA,Desktop,Referral,Fashion,8,4.6,0,0,0.0
299,2023-04-03,Germany,Mobile,Referral,Sports,4,4.21,1,0,0.0
300,2023-11-21,Australia,Mobile,Organic Search,Home,12,5.18,1,1,137.01
301,2024-08-20,Germany,Desktop,Referral,Home,9,7.64,0,0,0.0
302,2023-08-20,India,Desktop,Direct,Home,2,3.32,1,1,62.26
303,2023-02-18,Canada,Tablet,Direct,Beauty,6,3.84,0,0,0.0
304,2023-02-28,USA,Desktop,Referral,Beauty,4,4.62,0,1,141.99
305,2023-12-14,UK,Desktop,Referral,Sports,3,5.19,0,0,0.0
306,2023-07-20,Germany,Desktop,Social Media,Fashion,9,5.11,1,1,44.84
307,2024-12-27,Australia,Mobile,Referral,Beauty,9,8.74,0,0,0.0
308,2024-01-21,USA,Desktop,Organic Search,Home,5,2.48,1,0,0.0
309,2024-10-19,Australia,Desktop,Direct,Beauty,9,2.47,1,1,52.61
310,2024-03-12,Germany,Tablet,Direct,Fashion,6,3.98,0,0,0.0
311,2023-03-11,Germany,Mobile,Paid Ads,Sports,9,2.07,1,0,0.0
312,2023-03-18,Canada,Desktop,Organic Search,Beauty,5,8.32,1,1,26.74
313,2024-11-29,India,Tablet,Email,Electronics,3,5.51,0,0,0.0
314,2024-08-20,Australia,Mobile,Email,Books,4,8.14,1,1,234.85
315,2024-06-20,USA,Mobile,Email,Home,5,9.3,1,0,0.0
316,2024-11-25,UK,Tablet,Direct,Beauty,11,9.75,0,1,43.28
317,2023-07-01,Australia,Mobile,Social Media,Books,5,6.31,1,0,0.0
318,2024-12-21,Canada,Desktop,Social Media,Books,3,7.05,1,1,161.71
319,2023-08-10,Australia,Desktop,Referral,Electronics,10,9.26,0,0,0.0
320,2024-12-21,Canada,Mobile,Paid Ads,Books,10,7.51,1,1,82.71
321,2024-08-29,Australia,Desktop,Paid Ads,Books,5,6.15,1,1,95.55
322,2023-03-12,India,Desktop,Organic Search,Books,4,2.31,0,0,0.0
323,2024-04-29,Australia,Mobile,Email,Fashion,5,5.18,1,0,0.0
324,2024-07-21,Australia,Desktop,Organic Search,Electronics,5,5.03,0,1,47.53
325,2024-01-11,UK,Mobile,Social Media,Home,5,4.15,0,0,0.0
326,2024-02-28,UK,Desktop,Paid Ads,Fashion,3,6.23,0,1,61.58
327,2024-03-14,Canada,Desktop,Referral,Books,5,8.26,1,0,0.0
328,2024-05-17,USA,Mobile,Paid Ads,Electronics,9,7.36,1,0,0.0
329,2023-08-15,Canada,Desktop,Referral,Books,9,6.19,1,0,0.0
330,2024-07-04,USA,Desktop,Referral,Fashion,6,9.45,1,0,0.0
331,2024-12-20,USA,Desktop,Direct,Home,7,4.56,1,1,55.46
332,2024-12-02,Germany,Desktop,Direct,Electronics,3,10.96,1,1,265.65
333,2024-09-17,Germany,Desktop,Direct,Sports,3,6.77,0,0,0.0
334,2023-11-24,USA,Mobile,Email,Home,4,2.67,0,1,5.01
335,2023-09-29,Canada,Desktop,Direct,Beauty,11,1.76,1,0,0.0
336,2023-05-23,Australia,Desktop,Email,Home,5,1.83,1,0,0.0
337,2023-04-08,USA,Desktop,Email,Electronics,6,9.45,1,1,20.62
338,2024-09-06,USA,Desktop,Referral,Home,7,6.93,0,0,0.0
339,2023-07-11,Canada,Desktop,Direct,Home,4,4.01,0,0,0.0
340,2024-10-29,India,Tablet,Email,Home,7,3.54,0,1,41.72
341,2023-04-15,India,Tablet,Direct,Books,5,1.96,0,1,85.13
342,2024-01-05,India,Tablet,Direct,Beauty,3,6.06,0,0,0.0
343,2024-04-16,UK,Mobile,Referral,Home,5,3.37,0,0,0.0
344,2023-07-14,USA,Tablet,Paid Ads,Sports,3,7.71,0,0,0.0
345,2023-10-09,UK,Tablet,Direct,Books,7,9.34,1,1,46.6
